"transcriptID","geneID","feature","id","fc","pval","qval"
"gene-PA5272","cyaA","transcript","5434",3.23129568827284,0.01029231837672,0.947188505654787
"gene-PA4187",".","transcript","4287",4.60948719500252e-05,0.011189789285598,0.947188505654787
"gene-PA4659",".","transcript","4793",0.00276015474262833,0.0113713589874924,0.947188505654787
"gene-PA1279","cobU","transcript","1308",310.42696432171,0.0120982710572188,0.947188505654787
"rna-PA4690.2",".","transcript","4831",6.63964029769039e-05,0.0123166591913612,0.947188505654787
"gene-PA5563","soj","transcript","5730",48.0771269022477,0.0125383142808566,0.947188505654787
"gene-PA3884",".","transcript","3981",6.25571804711183e-05,0.0126300251908413,0.947188505654787
"gene-PA1297",".","transcript","1326",387.510664385305,0.0131866849375983,0.947188505654787
"gene-PA3182","pgl","transcript","3260",3.8161639528444e-05,0.0136922047208221,0.947188505654787
"gene-PA4764","fur","transcript","4917",56.7056664673253,0.0137864321627925,0.947188505654787
"gene-PA5460",".","transcript","5629",1558.60673251339,0.0145420955898389,0.947188505654787
"gene-PA2267",".","transcript","2314",1094.31431238144,0.0150664932597004,0.947188505654787
"gene-PA5021",".","transcript","5178",180.280005742526,0.0152583571562501,0.947188505654787
"gene-PA3305",".","transcript","3386",3.33452613274573e-05,0.0154270169854189,0.947188505654787
"gene-PA0604",".","transcript","612",7.59854166172297e-06,0.0154372436501883,0.947188505654787
"gene-PA5492",".","transcript","5660",0.0342444246648333,0.0155856190576761,0.947188505654787
"gene-PA1813",".","transcript","1858",1.757191023644,0.0165421984319893,0.947188505654787
"gene-PA2986",".","transcript","3054",399.709578977348,0.0166361215937035,0.947188505654787
"gene-PA2966","acpP","transcript","3033",13.3313643351088,0.0166565957928908,0.947188505654787
"gene-PA1414",".","transcript","1444",4959810.93794326,0.0174453814286141,0.947188505654787
"gene-PA4349",".","transcript","4466",6763.83550974922,0.0176357130289668,0.947188505654787
"gene-PA1190",".","transcript","1218",3.66780260476874e-11,0.0177232142862449,0.947188505654787
"gene-PA0121",".","transcript","125",5.10595592286953e-05,0.0177342042964335,0.947188505654787
"gene-PA4019",".","transcript","4118",2.82362969921092,0.0178699609333115,0.947188505654787
"gene-PA4476",".","transcript","4597",0.0635300584595679,0.0182421340602721,0.947188505654787
"gene-PA1050",".","transcript","1075",1251433.82925274,0.0182484018740667,0.947188505654787
"MSTRG.2869.5",".","transcript","3523",32.191173339892,0.0187685273948899,0.947188505654787
"gene-PA4067","oprG","transcript","4165",676617653615.508,0.0187874453203667,0.947188505654787
"gene-PA3190",".","transcript","3268",4.83379021765753e-07,0.0193265526481925,0.947188505654787
